      10.200   297.23 -1257.4   -73238.8859  -91370.5294  338304.5955       0.9012
      10.400   296.10  -959.6   -73297.3689  -91360.0192  336714.3203       0.9055
      10.600   299.72  -851.3   -73375.6800  -91659.2969  335001.8664       0.9101
      10.800   300.25  -881.4   -73492.0135  -91807.8307  333790.8832       0.9134
      11.000   301.51  -786.1   -73357.7131  -91750.6838  332500.8199       0.9169
      11.200   299.62  -883.2   -73484.6338  -91762.1344  331320.9478       0.9202
      11.400   301.72  -938.3   -73456.2751  -91861.9236  330065.6139       0.9237
      11.600   300.65  -595.8   -73593.9535  -91934.2534  328956.8754       0.9268
      11.800   301.67  -499.4   -73572.3756  -91975.0560  327875.0035       0.9299
      12.000   301.01  -821.7   -73675.4896  -92037.9707  326831.2322       0.9328
      12.200   301.59  -844.7   -73672.9660  -92070.9126  325591.4005       0.9364
      12.400   302.94  -414.9   -73622.0033  -92102.2503  324623.9647       0.9392
      12.600   303.36  -775.0   -73752.0319  -92257.6283  323740.4329       0.9418
      12.800   302.08  -642.3   -73806.0190  -92233.5222  322793.7489       0.9445
      13.000   300.83  -544.4   -73996.3997  -92347.5846  321732.8631       0.9476
      13.200   302.23  -815.0   -74073.4833  -92510.5405  320759.6368       0.9505
      13.400   301.92  -476.1   -74109.9767  -92527.9507  319838.2933       0.9532
      13.600   301.13  -615.8   -74050.9896  -92421.0632  318904.7945       0.9560
      13.800   303.24  -545.6   -74201.1494  -92699.4207  318030.1207       0.9587
      14.000   300.18  -368.0   -74251.5448  -92563.1118  317211.6005       0.9611
      14.200   300.76  -638.1   -74427.1922  -92774.4156  316551.0901       0.9631
      14.400   302.14  -468.1   -74473.8796  -92905.0176  315865.6827       0.9652
      14.600   298.72  -447.5   -74408.3703  -92631.1660  315023.3607       0.9678
      14.800   301.59  -451.7   -74378.2873  -92776.2299  314352.9765       0.9699
      15.000   302.12  -717.5   -74473.4972  -92903.7367  313658.5870       0.9720
      15.200   301.41  -573.2   -74495.9767  -92882.8526  312874.0454       0.9745
      15.400   301.06  -289.1   -74567.5799  -92932.8095  312097.8259       0.9769
      15.600   301.28  -481.4   -74657.4863  -93036.4038  311477.2305       0.9788
      15.800   299.01  -562.4   -74730.1558  -92970.5640  310827.8579       0.9809
      16.000   298.10  -543.9   -74619.9506  -92804.6417  310184.4750       0.9829
      16.200   301.11  -444.0   -74557.7755  -92926.3549  309568.6886       0.9849
      16.400   302.02  -412.3   -74524.6264  -92948.5173  309127.9999       0.9863
      16.600   303.23  -250.7   -74444.2071  -92942.0098  308537.6310       0.9882
      16.800   299.66  -469.6   -74636.9627  -92916.9740  307932.5650       0.9901
      17.000   301.67  -299.4   -74660.8637  -93063.8112  307301.0964       0.9921
      17.200   301.65  -283.3   -74839.6909  -93241.3363  306893.7389       0.9935
      17.400   301.77  -434.8   -74998.3610  -93407.2764  306397.3540       0.9951
      17.600   300.28  -248.1   -74951.4235  -93269.6388  305928.0091       0.9966
      17.800   298.93  -237.3   -74918.0381  -93153.7409  305548.6506       0.9978
      18.000   303.26  -220.0   -75033.0983  -93532.7731  305027.4178       0.9995
      18.200   300.59  -413.2   -75114.9230  -93451.5046  304695.8737       1.0006
      18.400   303.06  -177.0   -75083.8663  -93571.3995  304269.6597       1.0020
      18.600   300.69  -137.9   -75060.2074  -93402.9256  303865.6812       1.0034
      18.800   298.61  -304.0   -75309.8202  -93525.7496  303483.6448       1.0046
      19.000   298.68  -317.0   -75313.0380  -93533.3472  303107.5924       1.0059
      19.200   301.72  -319.9   -75190.0348  -93595.9209  302788.6857       1.0069
      19.400   299.48  -219.2   -75322.1332  -93591.0247  302387.1617       1.0083
      19.600   299.61  -390.6   -75232.0577  -93509.2783  302076.6482       1.0093
      19.800   299.98  -123.9   -75381.1593  -93680.8514  301664.1160       1.0107
      20.000   296.65    67.2   -75457.6238  -93554.1937  301543.5010       1.0111
      20.200   300.63    10.7   -75311.8959  -93651.3010  301215.3764       1.0122
      20.400   302.16  -241.7   -75245.5262  -93678.3759  300989.7132       1.0129
      20.600   303.69    70.4   -75155.5063  -93681.3126  300726.7520       1.0138
      20.800   299.83  -163.5   -75222.6537  -93513.4141  300439.4722       1.0148
      21.000   302.23   177.7   -75258.4208  -93695.4235  300362.7469       1.0151
      21.200   299.32  -173.2   -75196.1905  -93455.6567  300219.4837       1.0155
      21.400   302.14  -116.0   -75281.2391  -93712.4123  299957.4380       1.0164
      21.600   301.33  -231.7   -75417.7515  -93799.9405  299955.4784       1.0164
      21.800   303.01  -174.9   -75274.3011  -93758.8719  299717.7322       1.0172
      22.000   302.29  -150.9   -75195.1527  -93635.4974  299683.1685       1.0174
      22.200   298.52  -186.6   -75345.6278  -93556.1392  299606.7437       1.0176
      22.400   301.95   -87.8   -75414.5841  -93834.5680  299353.4213       1.0185
      22.600   301.14    75.8   -75423.7851  -93794.3632  299399.6240       1.0183
      22.800   297.45    23.8   -75498.2859  -93643.3390  299200.7372       1.0190
      23.000   300.23   122.4   -75458.1332  -93772.7043  299037.8787       1.0196
      23.200   300.96  -110.7   -75456.8377  -93816.2317  299030.5687       1.0196
      23.400   301.34   153.3   -75476.0371  -93858.5966  298885.2825       1.0201
      23.600   300.25  -209.7   -75534.2022  -93850.1543  298856.7655       1.0202
      23.800   302.45  -254.2   -75427.0483  -93877.2151  298790.9889       1.0204
      24.000   301.12   -90.7   -75515.3863  -93884.3450  298805.0293       1.0203
      24.200   300.27   -86.3   -75441.5892  -93758.9417  298707.7998       1.0207
